Year,Mining and quarrying,Manufacturing,Electricity; gas; steam and air conditioning supply,Water supply; sewerage; waste management and remediation activities,Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Professional; scientific and technical activities,Administrative and support service activities,Public administration and defence; compulsory social security,Human health and social work activities,Arts; entertainment and recreation,Education,Other service activities,,,,,,,,,
1995,35.5,32.8,71.9,57.5,30.4,11,50.7,7.9,25.5,37.3,9.4,12.4,59.1,48.3,27.3,55.6,12.8,,,,,,,,,
1996,38.6,30.8,70,53.1,29.3,10.6,49.8,7,22.7,35.8,9.9,11.1,60.4,47.2,24.9,55,12.3,,,,,,,,,
1997,32,30.4,66.5,58.5,24.1,10.3,47.5,6.9,22.2,33.1,8.9,10.5,62.3,47.8,27,55.6,11.6,,,,,,,,,
1998,29,30.4,59.5,50.2,23.8,11,45.2,6.7,19,31.1,8.6,10.4,60.6,46.5,26.9,53.1,11.6,,,,,,,,,
1999,38.1,28.7,54.1,54.3,23.8,11.2,45.5,6.1,17.7,29.8,9.7,10.6,61.1,45.2,24.4,53.7,14.3,,,,,,,,,
2000,34,28.1,60.1,50.6,23.1,11.2,46.1,6,13.1,30.9,9.1,9.7,59.3,47.4,25.8,53.9,14.1,,,,,,,,,
2001,27.6,27.1,53.8,46.3,21,11.6,46.8,5.7,16.2,25.7,10,9.8,59.7,45.3,27.8,53.2,12.9,,,,,,,,,
2002,25.5,25.8,55.4,44.3,19.5,11,44.2,6.3,18.8,27.3,8.3,9.8,59.7,45,21.9,55,14.1,,,,,,,,,
2003,32.8,26,50.5,41.3,20.6,11.7,46,5.5,17.9,26.5,10,11.7,57.2,45,25.3,55,14.6,,,,,,,,,
2004,24.8,25.1,53.8,37.2,19.1,11.5,45.6,5,16.6,25.2,9.7,10.3,56.1,44.2,20.8,55.4,10.2,,,,,,,,,
2005,21.2,25.3,50.9,37.8,16.3,10.8,44.7,4.2,17.1,25,8,10.9,56.5,43.9,20,55.5,11.6,,,,,,,,,
2006,23.5,22.5,50.8,44.6,17.6,11.1,43.9,5.6,17.3,24,8.2,10.5,57.2,43.6,21.6,55,13.2,,,,,,,,,
2007,22.7,22.1,48.7,38.9,17,11.3,43.4,4.9,17.5,22.4,9.2,9.5,56.8,43.7,21.6,55.4,10.1,,,,,,,,,
2008,18.5,20.7,45.8,33.2,17,11.9,42.6,5.4,14.6,21,8.7,9.5,55.8,41,22.7,54.2,11,,,,,,,,,
2009,18,21.3,47.4,35.1,14.7,12.4,43.6,3.9,13,20.3,10.9,12.2,52.4,42,18.9,53.1,11.3,,,,,,,,,
2010,20.9,19.8,43.6,32.9,14.7,11.8,42.1,3.8,12.8,17.4,8.9,12.4,51.7,41.4,18.7,52.4,11.6,,,,,,,,,
2011,23.5,18.7,43.2,28.7,14.8,11.8,38.9,3.6,11.7,16.9,9.3,11.7,53.4,41.5,16.7,51.6,10.8,,,,,,,,,
2012,18.9,18.7,43.4,35.1,15.8,12.7,40,3.5,12.6,16,8.8,11.1,52.3,41,14.8,52.1,10.2,,,,,,,,,
2013,20.8,18.3,49,33.2,14.2,12.2,40.2,4.2,11.3,16.8,8,11.6,50.2,39.9,17.8,51.8,13.5,,,,,,,,,
2014,18.4,17.9,40.3,28.7,13.8,11.9,37.4,3.5,11.4,16.9,9.3,12,49.8,39.9,15.6,50.3,11.4,,,,,,,,,
2015,12,16.8,42.2,33.3,13.1,12.8,37.6,3.6,10.2,14,8.1,10.3,45.7,40.6,15,51.9,12.1,,,,,,,,,
2016,13,17.8,32.6,33.6,12.1,11.4,36.6,2.5,10.2,12.9,8.3,11.2,44.8,39.3,14.7,48,11.7,,,,,,,,,
2017,15.2,17.6,44.5,30.4,11.4,12.8,35.6,2.9,9.6,13.5,7.8,10,43,38.3,13.9,48.1,11.7,,,,,,,,,
2018,16.6,17.1,35.2,28.8,11.9,11.9,36.1,3.3,7.8,12.7,7,10,45.4,38.1,14.9,47.6,10.2,,,,,,,,,
2019,12.9,15.6,31.1,25.9,11.7,12.3,38.9,2.3,8.2,14.7,7.7,8,44.2,39.7,13.1,48.7,12.1,,,,,,,,,
2020,12,14.4,35.5,24.1,10.6,13.7,33.1,4.3,8.5,11.4,8.3,11.8,42.4,37.7,16.9,51.4,13,,,,,,,,,