Year,Services,Finance,Manufacturing,Construction,Wholesailing
Jan-02,2.4,2.3,1.9,1.8,3.1
Jan-03,2.3,2,1.8,2.1,2.8
Jan-04,2.4,2.8,1.9,1.9,3
Jan-05,2.5,3.1,2.1,1.6,3
Jan-06,2.3,3.2,1.8,1.8,2.8
Jan-07,2.3,3.6,2,1.6,2.9
Jan-08,2.5,3.4,2.2,1.9,3.4
Jan-09,1.8,2.2,1.2,1,2.3
Jan-10,1.8,2.5,1.1,0.7,2.4
Jan-11,1.9,2.9,1.5,1,2.6
Jan-12,1.8,2,1.7,0.9,2.5
Jan-13,1.9,2.6,1.6,1,2.6
Jan-14,2.2,3.1,1.6,1.4,3.1
Jan-15,2.5,3.7,2,2,3.7
Jan-16,2.6,3,1.9,1.5,3.6
Jan-17,2.7,3.1,2.1,2,4.1
Jan-18,2.8,3.7,2.3,1.5,4.1
Jan-19,2.9,3.4,2.4,1.9,3.7
Jan-20,2.8,2.9,2.3,1.9,4.1
Jan-21,2,2.3,2.1,1.9,0.9
Jan-22,4.3,4.8,4.1,3.2,7.6