Country_Name,CO2_emissions_per_capita ,GDP_per_capita ,Population_2019
Afghanistan,0.159824372,494.1793499,38041757
Angola,0.792137069,2177.799015,31825299
Albania,1.69224832,5396.215864,2854191
Andorra,6.481217432,40898.41791,77146
United Arab Emirates,19.32956328,42701.44305,9770526
Argentina,3.740650291,10076.35524,44938712
Armenia,2.086060678,4604.646324,2957728
Antigua and Barbuda,5.354476455,17376.64968,97115
Australia,15.23826715,54875.28596,25365745
Austria,7.293984252,50114.40111,8879920
Azerbaijan,3.542397828,4805.753718,10024283
Burundi,0.062442671,223.8628757,11530577
Belgium,8.095583954,46599.11134,11488980
Benin,0.618583746,1219.515506,11801151
Burkina Faso,0.246046246,796.1152068,20321383
Bangladesh,0.556529455,2154.226819,163046173
Bulgaria,5.61085728,9879.268533,6975761
Bahrain,20.26610279,23552.37995,1641164
Bahamas,7.291661097,33872.33431,389486
Bosnia and Herzegovina,6.382918043,6119.762351,3300998
Belarus,6.122237765,6837.717826,9419758
Belize,1.639550009,4983.336114,390351
Bolivia,1.940398005,3552.068144,11513102
Brazil,2.057810839,8876.059836,211049519
Barbados,4.355082032,18480.05659,287021
Brunei Darussalam,16.13215855,31085.96193,433296
Bhutan,1.375977209,3322.863329,763094
Botswana,3.147107071,7247.429476,2303703
Central African Republic,0.050577648,468.1175148,4745179
Canada,15.43061283,46328.67184,37601230
Switzerland,4.359041462,85334.51946,8575280
Chile,4.821118299,14699.46278,18952035
China,7.605936961,10143.8382,1407745000
Cote d'Ivoire,0.421129515,2276.332394,25716554
Cameroon,0.364424922,1533.095688,25876387
Democratic republic of the Congo,0.036985586,596.5605701,86790568
Republic of the Congo,1.349316017,2369.729441,5380504
Colombia,1.609870831,6418.615783,50339443
Comoros,0.376076363,1404.433187,850891
Cabo Verde,1.181955675,3603.775241,549936
Costa Rica,1.632471558,12762.13801,5047561
Cuba,2.286146065,9125.878679,11333484
Cyprus,5.998795283,29206.07617,1198574
Czechia,9.022786158,23660.14881,10671870
Germany,7.911621016,46794.89929,83092962
Djibouti,0.431407701,3172.750685,973557
Dominica,2.367424267,8516.280039,71808
Denmark,5.107988509,59775.7351,5814422
Dominican Republic,2.535627952,8282.117131,10738957
Algeria,3.977650459,3989.668276,43053054
Ecuador,2.261469817,6222.524653,17373657
Egypt,2.484059911,3019.092283,100388076
Spain,5.09135092,29554.49052,47134837
Estonia,7.672277909,23397.87826,1326855
Ethiopia,0.163813429,855.7608852,112078727
Finland,7.372854761,48628.64176,5521606
Fiji,1.831553275,6175.890653,889955
France,4.468770089,40578.64429,67248926
Micronesia,1.581569507,3624.249092,113811
Gabon,2.416484011,7766.996554,2172578
United Kingdom,5.220514488,43070.49836,66836327
Georgia,2.717624226,4696.150586,3720161
Ghana,0.658823541,2246.625578,30417858
Guinea,0.309288541,1052.588091,12771246
Gambia,0.247050718,772.5055883,2347696
Guinea-Bissau,0.171792958,749.453747,1920917
Equatorial Guinea,3.945480032,8380.741122,1355982
Greece,5.59618907,19133.75776,10721582
Grenada,2.946376075,10834.49568,112002
Guatemala,1.162970924,4638.634943,16604026
Guyana,3.640892855,6609.51128,782775
Honduras,1.048622992,2574.356751,9746115
Croatia,4.063707833,15311.7669,4065253
Haiti,0.294768414,1312.770636,11263079
Hungary,4.74663103,16735.65978,9771141
Indonesia,2.290397148,4135.233344,270625567
India,1.797620119,2072.244897,1366417756
Ireland,7.245143221,80886.61574,4934340
Iran,7.598364845,3514.042168,82913893
Iraq,4.440624129,5943.458455,39309789
Iceland,4.548442258,68941.46223,360563
Israel,6.919593718,43951.24773,9054000
Italy,5.311315442,33673.47545,59729081
Jamaica,2.845730012,5369.498371,2948277
Jordan,2.438204112,4405.487109,10101697
Japan,8.540980205,40458.00188,126633000
Kazakhstan,11.45693783,9812.595808,18513673
Kenya,0.423783898,1909.304537,52573967
Kyrgyz Republic,1.556643256,1374.032105,6456200
Cambodia,0.98140655,1643.121389,16486542
Kiribati,0.765254095,1512.95277,117608
St. Kitts and Nevis,4.731801491,22047.88303,52834
Korea,11.79932538,31902.4169,51764822
Kuwait,22.0224164,32373.25111,4207077
Lao PDR,2.609681834,2613.944427,7169456
Lebanon,4.076894274,7527.44306,6855709
Liberia,0.23899343,672.3404992,4937374
Libya,8.380729344,10218.04303,6777453
St. Lucia,2.95412906,11591.08044,182795
Liechtenstein,3.945292108,169049.1569,38020
Sri Lanka,1.090675627,3848.212376,21803000
Lesotho,0.362307409,1153.388058,2125267
Lithuania,4.198076022,19575.76848,2794137
Luxembourg,15.30642656,113218.7133,620001
Latvia,3.955435862,17926.84159,1913822
Morocco,1.959872285,3235.000732,36471766
Moldova,3.324610168,4492.10574,2664974
Madagascar,0.152766255,526.2245722,26969306
Maldives,3.973956262,10561.61351,530957
Mexico,3.521600048,9950.217622,127575529
Marshall Islands,3.061693238,4073.10983,58791
North Macedonia,3.996737213,6070.388054,2076694
Mali,0.29657102,879.0431675,19658023
Malta,3.293245606,31185.64962,504062
Myanmar,0.679428523,1271.111536,54045422
Montenegro,4.179875994,8909.890151,622028
Mongolia,7.153120086,4404.84583,3225166
Mozambique,0.246986412,506.8171391,30366043
Mauritania,0.872793555,1743.301317,4525698
Mauritius,3.294591006,11097.16898,1265711
Malawi,0.077836684,591.8470837,18628749
Malaysia,7.927126037,11432.82603,31949789
Namibia,1.691705428,5028.295342,2494524
Niger,0.092232251,554.0993893,23310719
Nigeria,0.573636206,2229.858652,200963603
Nicaragua,0.800549594,1924.471816,6545503
Netherlands,8.437074627,52476.27325,17344874
Norway,6.722269985,75719.7529,5347896
Nepal,0.470136453,1194.957236,28608715
Nauru,5.574135884,11029.73558,10764
New Zealand,6.830414187,42865.23364,4979200
Oman,15.28243639,17700.70349,4974992
Pakistan,0.879965499,1481.813864,216565317
Panama,3.141454996,15774.25495,4246440
Peru,1.745591927,7023.077526,32510462
Philippines,1.345029057,3485.340844,108116622
Palau,13.88811733,15232.48708,18001
Papua New Guinea,0.863707514,2820.306397,8776119
Poland,7.773641839,15732.20313,37965475
Portugal,4.339768426,23330.81729,10286263
Paraguay,1.165425232,5383.574422,7044639
Qatar,32.47446876,62087.97413,2832071
Romania,3.817434477,12899.34611,19371648
Russian Federation,11.79720293,11536.25098,144406261
Rwanda,0.105330369,820.1772393,12626938
Saudi Arabia,15.28457873,23450.56202,34268529
Sudan,0.481626765,755.3289795,42813237
Senegal,0.651679184,1435.830367,16296362
Singapore,8.307079491,65831.18943,5703569
Solomon Islands,0.537457043,2344.048976,669821
Sierra Leone,0.115189573,521.7548367,7813207
El Salvador,1.208637136,4167.730939,6453550
Somalia,0.04468071,419.3948077,15442906
Serbia,6.616046939,7417.203649,6945235
Sao Tome and Principe,0.697518721,1987.579702,215048
Suriname,4.558253785,6853.693411,581363
Slovak Republic,5.698416255,19303.54566,5454147
Slovenia,6.512209378,25942.95477,2088385
Sweden,3.405037919,51939.42974,10278887
Eswatini,0.836140045,3889.851226,1148133
Seychelles,6.248399634,17252.02078,97625
Chad,0.141093412,709.5400432,15946882
Togo,0.293231207,893.3524541,8082359
Thailand,3.836090019,7814.384431,69625581
Tajikistan,1.010618692,890.5444024,9321023
Turkmenistan,12.26335409,7612.03518,5942094
Timor-Leste,0.479460533,1583.713576,1293120
Tonga,1.531144401,4903.012138,104497
Trinidad and Tobago,12.32285487,17123.11629,1394969
Tunisia,2.557564208,3571.945048,11694721
Turkiye,4.75658475,9121.515167,83429607
Tuvalu,0.858000839,4652.350846,11655
Tanzania,0.21463496,1085.884888,58005461
Uganda,0.132370788,798.5857341,44269587
Ukraine,3.936583531,3661.456299,44386203
Uruguay,1.874784543,17688.01501,3461731
United States,14.67341061,65094.79943,328329953
Uzbekistan,3.47554445,1784.009816,33580350
St. Vincent and the Grenadines,2.350962452,8229.722486,110593
Vietnam,3.488312636,3425.089253,96462108
Vanuatu,0.70027542,3122.982599,299882
Samoa,1.522124134,4322.868416,197093
Yemen,0.380633361,750.5545834,29161922
South Africa,7.507736092,6624.761865,58558267
Zambia,0.380717051,1305.001031,17861034
Zimbabwe,0.80297852,1316.740657,14645473